"country"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"Sudan"	0.250105113002986	0.203236682565673	4216000
"Sweden"	0.344628189798615	0.303667451661029	151217000
"Singapore"	0.132508256596401	0.0782900226336756	66426000
"Slovenia"	0.397018589170346	0.359332250993493	15270000
"Slovakia"	0.131411177259674	0.0771243758384039	22680000
"Sierra Leone"	0.802819240313863	0.790495442833479	577000
"San Marino"	0.148082008262536	0.0948371337789443	215000
"Senegal"	0.0115427160079084	-0.0502358642415974	3137000
"Somalia"	0.0470341844975792	-0.012526178971322	4e+05
"Suriname"	0.169933296421466	0.118054127447808	880000
"El Salvador"	0.275240343160556	0.229942864608091	10380000
"Syrian Arab Republic"	0.393115507582906	0.355185226806837	2005000
"Swaziland"	0.0549714490483932	-0.00409283538608207	245000
"Turks and Caicos Islands"	0.454271645130755	0.420163622951427	84000
"Togo"	0.426407303138014	0.39055775958414	595000
"Thailand"	0.660968974675175	0.639779535592373	78008000
"Tajikistan"	0.233958561839564	0.186080971954537	1421000
"Turkmenistan"	0.522301276005082	0.4924451057554	839000
"Tunisia"	0.480782172882725	0.448331058687895	12906000
"Turkey"	0.326526985780626	0.284434922391915	148185000
"Trinidad and Tobago"	0.681924256342986	0.662044522364423	4750000
"Taiwan"	0.27337345568963	0.227959296670232	163208000
"Tanzania, United Republic of"	0.283051204286815	0.238241904554741	5950000
"Ukraine"	0.289029404293048	0.244593742061364	250224000
"Uganda"	0.51526625479068	0.484970395715097	4578000
"United States"	0.714620176573249	0.696783937609078	3681768000
"Uruguay"	0.323518800056001	0.281238725059502	14356000
"Uzbekistan"	0.0410052445089598	-0.0189319277092301	5711000
"Saint Vincent and the Grenadines"	0.333316306289451	0.291648575432542	218000
"Venezuela"	0.000374333665138696	-0.0621022704807901	89207000
"Virgin Islands, British"	0.0890199445872787	0.0320836911239836	85000
"Virgin Islands, U.S."	0.790742491957836	0.777663897705201	355000
"Vietnam"	0.0982634119237653	0.0419048751690007	79148000
"Vanuatu"	0.574642586602215	0.548057748264854	131000
"Yemen"	0.421616886335407	0.38546794173137	2772000
"Mayotte"	0.274629299275266	0.22929363047997	348000
"South Africa"	0.100810168066716	0.0446108035708858	49855000
"Zambia"	0.00660288693458527	-0.0554844326320032	1958000
"Zimbabwe"	0.565014767206472	0.537828190156877	2767000
"Congo"	0.310857848439373	0.267786463966834	320000
"Central African Republic"	0.0919685619000125	0.0352165970187632	47000
"Saint Martin"	0.0780882062293874	0.0204687191187241	25000
