"project"	"Percentage_mobile"	"Total_pageviews"
"mrj.wikipedia"	0.058252427184466	103000
"xmf.wikipedia"	0.0456852791878173	197000
"el.wikibooks"	0.125	56000
"el.wikiquote"	0.242105263157895	190000
"el.wikisource"	0.112676056338028	142000
"el.wikiversity"	0.238532110091743	109000
"om.wikipedia"	1	86000
"pnt.wikipedia"	0.0963855421686747	83000
"sa.wikipedia"	0.171662125340599	367000
"hr.wikiquote"	0.222222222222222	63000
"hr.wikisource"	0.414414414414414	111000
"hu.wikibooks"	0.248484848484848	165000
"hu.wikisource"	0.415584415584416	77000
"hu.wiktionary"	0.373493975903614	581000
"he.wikibooks"	0.426701570680628	382000
"he.wikisource"	0.487437185929648	796000
"gu.wikisource"	0.413793103448276	29000
"hi.wikibooks"	0.3	50000
"kn.wikipedia"	0.196770938446014	991000
"mr.wikipedia"	0.163027656477438	2061000
"mr.wikisource"	0.272727272727273	22000
"ne.wikipedia"	0.374764595103578	531000
"ta.wikibooks"	0.30952380952381	42000
"ba.wikipedia"	0.0382293762575453	497000
"fa.wikibooks"	0.263565891472868	129000
"fa.wikiquote"	0.329896907216495	194000
"fa.wiktionary"	0.420118343195266	169000
"is.wiktionary"	0.534351145038168	131000
"nap.wikipedia"	0.104166666666667	240000
"ro.wikibooks"	0.184615384615385	65000
"ja.wikinews"	0.366666666666667	90000
"my.wikipedia"	0.340866290018832	531000
"sh.wiktionary"	0.191489361702128	47000
"gl.wiktionary"	0.613445378151261	119000
"ha.wikipedia"	0.285714285714286	98000
"ko.wikinews"	0.222222222222222	27000
"ko.wikisource"	0.326996197718631	263000
"ltg.wikipedia"	0.15	60000
"pi.wikipedia"	0.0843373493975904	83000
"kk.wikiquote"	0.258064516129032	31000
"ru.wikiversity"	0.265129682997118	347000
"mk.wikibooks"	0.181818181818182	33000
"si.wikipedia"	0.0954356846473029	482000
"lt.wikiquote"	0.2875	80000
"lt.wikisource"	0.178571428571429	28000
"ml.wikisource"	0.25	144000
"lv.wiktionary"	0.404761904761905	42000
"ig.wikipedia"	0.405882352941176	170000
"chr.wikipedia"	0.0714285714285714	98000
"nl.wikisource"	0.343283582089552	67000
"ilo.wikipedia"	0.0603448275862069	464000
"nn.wikiquote"	0.222222222222222	36000
"tl.wikibooks"	0.333333333333333	291000
"tl.wiktionary"	0.289473684210526	76000
"vec.wikisource"	0.21875	32000
"am.wiktionary"	1	21000
"ast.wiktionary"	0.355932203389831	59000
"sq.wikiquote"	0.24	25000
"sr.wikibooks"	0.5	22000
"sr.wikiquote"	0.297872340425532	47000
"sr.wikisource"	0.386666666666667	150000
"ee.wikipedia"	0.0625	48000
"jbo.wikipedia"	0.0898876404494382	89000
"mg.wikipedia"	0.0625	240000
"mi.wikipedia"	0.0492957746478873	142000
"st.wikipedia"	0.0714285714285714	56000
"tk.wikipedia"	0.128571428571429	280000
"ts.wikipedia"	0.108695652173913	46000
"udm.wikipedia"	0.987951807228916	166000
"uk.wiktionary"	0.29595015576324	321000
