"project"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"hak.wikipedia"	0.419836326534578	0.383576096942989	372000
"ig.wikipedia"	0.0485648824570539	-0.0108998123893804	170000
"io.wikipedia"	0.0760422884451103	0.0182949314729297	673000
"io.wiktionary"	0.143905848967763	0.0903999645282478	433000
"ja.wikibooks"	0.0985703411675088	0.042230987490478	1812000
"ja.wikinews"	0.12886856234963	0.0744228474964823	90000
"ka.wikipedia"	0.000429661022317544	-0.0620434851637877	4496000
"kk.wikipedia"	0.724938719250398	0.707747389203548	16277000
"kn.wikipedia"	0.0359486504425693	-0.0243045589047701	991000
"krc.wikipedia"	0.0821653882477731	0.0248007250132589	101000
"kv.wikipedia"	0.000458199020908849	-0.0620131635402843	99000
"li.wikipedia"	0.203827438935281	0.154066653868736	246000
"lmo.wikipedia"	0.000227418835539409	-0.0622583674872392	279000
"lv.wikipedia"	0.0109768348791471	-0.0508371129409062	3475000
"mg.wikipedia"	0.0636198110278251	0.00509604921706419	240000
"mn.wikipedia"	0.192563172817172	0.142098371118245	1370000
"ms.wiktionary"	0.0136030666150679	-0.0480467417214903	63000
"mt.wikipedia"	0.327164517458603	0.285112299799765	249000
"mwl.wikipedia"	0.146630899688233	0.0932953309187481	92000
"nds.wikipedia"	0.0738858939355961	0.0160037623065709	415000
"ne.wikipedia"	0.552495272122204	0.524526226629841	531000
"nso.wikipedia"	0.0324005625097658	-0.0280744023333739	95000
"pa.wikipedia"	0.0223845073406156	-0.0387164609505959	498000
"pcd.wikipedia"	0.012008948414617	-0.0497404923094695	2e+05
"pms.wikipedia"	0.00182066527330813	-0.0605655431471102	320000
"pnb.wikipedia"	0.0822007122285271	0.02483825674281	398000
"qu.wikipedia"	0.0346146096116306	-0.0257219772876425	412000
"ru.wikinews"	0.0841975413044554	0.0269598876359838	215000
"rw.wikipedia"	0.30264827988186	0.259063797374476	172000
"sah.wikipedia"	0.032616728679671	-0.0278447257778496	280000
"scn.wikipedia"	0.153310677558065	0.100392594905444	572000
"sco.wikipedia"	0.478252999951941	0.445643812448937	643000
"se.wikipedia"	0.00307988748006996	-0.0592276195524257	262000
"simple.wikiquote"	0.0329555032257735	-0.0274847778226157	77000
"su.wikipedia"	0.159075320769504	0.106517528317598	4930000
"sw.wikipedia"	0.15786906198905	0.105235878363366	1273000
"tet.wikipedia"	0.400245927661496	0.36276129814034	122000
"th.wiktionary"	0.0405420214743986	-0.0194241021834514	270000
"tl.wikipedia"	0.283068183374571	0.238259944835481	5699000
"tn.wikipedia"	0.443035883465554	0.408225626182152	58000
"tr.wiktionary"	0.0803904564022354	0.0229148599273751	1240000
"tt.wikipedia"	0.205396922634703	0.155734230299372	795000
"ug.wikipedia"	0.177833951878684	0.126448573871101	251000
"vi.wikisource"	0.0361030344956267	-0.0241405258483964	727000
"vls.wikipedia"	0.366198470722809	0.326585875142985	369000
"vo.wikipedia"	0.00239692042235638	-0.0599532720512463	906000
"war.wikipedia"	0.245164379348146	0.197987153057405	2857000
"wuu.wikipedia"	0.168705963984645	0.116750086733686	257000
"xmf.wikipedia"	0.00833760865744881	-0.0536412908014607	197000
"za.wikipedia"	0.353385753586504	0.31297236318566	115000
"zh-classical.wikipedia"	0.000694224275810182	-0.0617623867069517	289000
"zh-min-nan.wikipedia"	0.167426802821867	0.115390977998234	326000
"zh.wikibooks"	0.328291114668248	0.286309309335013	240000
"zh.wikiquote"	0.535618517928844	0.506594675299396	477000
"cs.wikiquote"	0.0112591578588157	-0.0505371447750083	219000
"cs.wikisource"	0.0360210803252785	-0.0242276021543917	169000
