"type"	"N"
"desktop"	5
"mobile"	496
"mobile"	3
"mobile"	15
"mobile"	2
"desktop"	11
"mobile"	1
"mobile"	2
"desktop"	1
"mobile"	1
"mobile"	11
"desktop"	12
"desktop"	17
"mobile"	6
"desktop"	43
"desktop"	4
"desktop"	1
"desktop"	13
"mobile"	3
"desktop"	7
"mobile"	10
"mobile"	1
"desktop"	23
"mobile"	8
"mobile"	67
"desktop"	30
"mobile"	2
"desktop"	3
"desktop"	1
"mobile"	16
"desktop"	403
"mobile"	1
"desktop"	1
"mobile"	3
"desktop"	1
"desktop"	6
"desktop"	29
"desktop"	2
"mobile"	4
"desktop"	3
"desktop"	5
"desktop"	133
"mobile"	29
"desktop"	1
"mobile"	2
"desktop"	6
"desktop"	45
"mobile"	4
"mobile"	2
"mobile"	1
"mobile"	1
"mobile"	31
"mobile"	7
"desktop"	58
"mobile"	2
"mobile"	2
"mobile"	9
"mobile"	2
"desktop"	3
"desktop"	1
"desktop"	1
"desktop"	68
"mobile"	5
"mobile"	120
"mobile"	2
"mobile"	4
"mobile"	72
"mobile"	33
"desktop"	2
"mobile"	26
"desktop"	20
"mobile"	1
"desktop"	36
"desktop"	85
"mobile"	25
"mobile"	4
"mobile"	4
"mobile"	21
"mobile"	2
"desktop"	11
"mobile"	3
"mobile"	2
"mobile"	3
"mobile"	1
"mobile"	1
"desktop"	3
"mobile"	51
"desktop"	2
"desktop"	2
"desktop"	15
"mobile"	1
"mobile"	3
"mobile"	3
"desktop"	3
"mobile"	8
"mobile"	4
"desktop"	11
"desktop"	49
"mobile"	1
"desktop"	23
"mobile"	5
"desktop"	58
"desktop"	2
"mobile"	11
"mobile"	8
"desktop"	4
"desktop"	2
"mobile"	4
"desktop"	2
"mobile"	10
"desktop"	54
"mobile"	1
"mobile"	1
"desktop"	51
"desktop"	5
"desktop"	3
"desktop"	4
"desktop"	1
"mobile"	2
"desktop"	2
"mobile"	13
"mobile"	120
"mobile"	16
"desktop"	1
"mobile"	5
"mobile"	1
"mobile"	1
"desktop"	2
"desktop"	8
"mobile"	13
"desktop"	2
"mobile"	7
"mobile"	15
"mobile"	2
"mobile"	2
"desktop"	66
"mobile"	91
"mobile"	4
"desktop"	130
"mobile"	1
"mobile"	33
"desktop"	4
"mobile"	2
"mobile"	1
"desktop"	1
"desktop"	18
"mobile"	62
"mobile"	29
"mobile"	2
"mobile"	6
"mobile"	2
"mobile"	17
"mobile"	3
"desktop"	5
"mobile"	21
"desktop"	1
"mobile"	14
"desktop"	33
"desktop"	14
"mobile"	30
"mobile"	3
"desktop"	11
"mobile"	1
"desktop"	2
"desktop"	1
"desktop"	1
"desktop"	3
"desktop"	10
"desktop"	350
"mobile"	8
"desktop"	13
"desktop"	7
"mobile"	1
"desktop"	3
"mobile"	1
"desktop"	2
"desktop"	135
"mobile"	4
"mobile"	17
"mobile"	6
"desktop"	4
"mobile"	19
"desktop"	3
"mobile"	1
"mobile"	9
"mobile"	1
"desktop"	48
"desktop"	7
"mobile"	1
"mobile"	3
"desktop"	6
"mobile"	1
"desktop"	11
"mobile"	9
"mobile"	47
"mobile"	11
"mobile"	1
"mobile"	6
"mobile"	8
"desktop"	128
"desktop"	1
"mobile"	5
"mobile"	37
"mobile"	1
"mobile"	3
"desktop"	85
"mobile"	4
"mobile"	13
"mobile"	1
"mobile"	26
"mobile"	3
"mobile"	6
"desktop"	2
"desktop"	2
"mobile"	3
"mobile"	43
"desktop"	66
"mobile"	2
"desktop"	11
"mobile"	15
"mobile"	28
"mobile"	5
"mobile"	42
"mobile"	1
"mobile"	5
"mobile"	5
"desktop"	374
"mobile"	31
"mobile"	59
"desktop"	2
"desktop"	32
"mobile"	2
"desktop"	227
"mobile"	7
"mobile"	16
"mobile"	4
"desktop"	11
"desktop"	3
"desktop"	1
"desktop"	1
"mobile"	2
"desktop"	39
"mobile"	1
"desktop"	1
"mobile"	8
"desktop"	14
"mobile"	2
"desktop"	2
"desktop"	14
"mobile"	5
"mobile"	2
"mobile"	14
"desktop"	6
"mobile"	3
"mobile"	15
"desktop"	1
"desktop"	1
"mobile"	26
"mobile"	5
"desktop"	16
"mobile"	2
"desktop"	10
"mobile"	155
"mobile"	11
"mobile"	34
"mobile"	1
"desktop"	48
"desktop"	7
"mobile"	2
"desktop"	67
"mobile"	1
"mobile"	2
"desktop"	1
"mobile"	17
"mobile"	6
"mobile"	3
"desktop"	12
"mobile"	17
"mobile"	6
"mobile"	6
"desktop"	22
"desktop"	1
"mobile"	2
"mobile"	5
"desktop"	2
"mobile"	4
"desktop"	159
"mobile"	22
"desktop"	4
"mobile"	8
"desktop"	1
"mobile"	21
"mobile"	39
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	2
"mobile"	2
"mobile"	3
"desktop"	4
"desktop"	12
"mobile"	4
"mobile"	13
"desktop"	20
"mobile"	4
"desktop"	72
"mobile"	16
"mobile"	1
"mobile"	10
"desktop"	72
"mobile"	7
"desktop"	7
"desktop"	57
"mobile"	16
"desktop"	1
"mobile"	5
"mobile"	1
"mobile"	21
"mobile"	22
"mobile"	1
"mobile"	1
"mobile"	7
"desktop"	6
"mobile"	4
"desktop"	1
"desktop"	3
"mobile"	3
"desktop"	26
"desktop"	1
"mobile"	1
"mobile"	9
"desktop"	9
"mobile"	4
"desktop"	7
"mobile"	3
"mobile"	3
"desktop"	23
"desktop"	6
"mobile"	1
"mobile"	1
"mobile"	154
